Date,Day of the week,App (Use all CAPITALS),Minutes,Category
08/25,Friday,HUDL,12,Other
08/25/23,Friday,MESSAGES,26,Social Media
08/25/23,Friday,TIKTOK,56,Social Media
08/25/23,Friday,INSTAGRAM,56,Social Media
08/26/23,Saturday,YOUTUBE,86,Entertainment
08/26/23,Saturday,CAPCUT,55,Education
08/26/23,Saturday,PHOTO,38,Social Media
08/26/23,Saturday,TIKTOK,33,Social Media
08/27/23,Sunday,INSTAGRAM,136,Social Media
08/27/23,Sunday,TIKTOK,123,Social Media
8/27,Sunday,HUDL,60,Other
8/28,Monday,TIKTOK,111,Social Media
08/28/23,Monday,INSTAGRAM,101,Social Media
8/28,Monday,YOUTUBE,58,Education
08/28/23,Monday,SNAPCHAT,29,Social Media
08/29,Tuesday,INSTAGRAM,77,Social Media
08/29/23,Tuesday,YOUTUBE,67,Entertainment
08/29/23,Tuesday,MUSI,12,Other
08/30/23,Wednesday,TIKTOK,180,Social Media
8/30,Wednesday,INSTAGRAM,69,Social Media
8/30,Wednesday,MESSAGES,25,Social Media
8/30,Wednesday,PHOTO,14,Other
8/31,Thursday,HUDL,52,Other
8/31,Thursday,SETTINNGS,28,Other
8/31,Thursday,INSTAGRAM,22,Social Media